Dosya_Adi,Payload_Bit,Toplam_Piksel,Guvenli_Piksel(K),Daralma_Orani(%),ABC_Suresi_sn,MSE,PSNR_dB,SSIM
4554.pgm,10000,65536,33696,51.416,0.02372,0.075363,59.3592,0.999927
4555.pgm,10000,65536,28336,43.2373,0.02064,0.075821,59.3329,0.999897
4556.pgm,10000,65536,32240,49.1943,0.02012,0.075729,59.3382,0.999905
4557.pgm,10000,65536,30080,45.8984,0.02015,0.076691,59.2834,0.999819
4558.pgm,10000,65536,33920,51.7578,0.02991,0.075317,59.3619,0.999927
4559.pgm,10000,65536,46944,71.6309,0.17551,0.077484,59.2387,0.99983
4560.pgm,10000,65536,28176,42.9932,0.04344,0.075668,59.3417,0.9999
4561.pgm,10000,65536,41632,63.5254,0.02756,0.07695,59.2687,0.999802
4562.pgm,10000,65536,20112,30.6885,0.01959,0.076813,59.2765,0.999745
4563.pgm,10000,65536,40512,61.8164,0.02311,0.076599,59.2886,0.999779
4564.pgm,10000,65536,20016,30.542,0.02401,0.07637,59.3016,0.999811
4565.pgm,10000,65536,20384,31.1035,0.02617,0.076645,59.286,0.999757
4566.pgm,10000,65536,50400,76.9043,0.03431,0.077454,59.2404,0.999894
4567.pgm,10000,65536,18576,28.3447,0.03895,0.076355,59.3024,0.999817
4568.pgm,10000,65536,40256,61.4258,0.20383,0.076523,59.2929,0.999894
4569.pgm,10000,65536,32176,49.0967,0.03981,0.075317,59.3619,0.999899
4570.pgm,10000,65536,32448,49.5117,0.02435,0.076843,59.2747,0.999902
4571.pgm,10000,65536,37600,57.373,0.02246,0.077118,59.2593,0.999822
4572.pgm,10000,65536,45856,69.9707,0.02857,0.075897,59.3285,0.999912
4573.pgm,10000,65536,46368,70.752,0.02756,0.076035,59.3207,0.999911
4574.pgm,10000,65536,31520,48.0957,0.02397,0.076248,59.3085,0.999892
4575.pgm,10000,65536,43120,65.7959,0.02774,0.07695,59.2687,0.99984
4576.pgm,10000,65536,25312,38.623,0.02494,0.076019,59.3216,0.99982
4577.pgm,10000,65536,23728,36.2061,0.03215,0.076981,59.267,0.999819
4578.pgm,10000,65536,34320,52.3682,0.19367,0.075058,59.3768,0.99979
4579.pgm,10000,65536,30640,46.7529,0.04613,0.076706,59.2825,0.99979
